id,"text","author"
id1550,"Let him lie and he will soon find his senses.","ACD"
id2087,"Here behind a barricade lay our advance guard.","ACD"
id521,"he panted.","ACD"
id2015,"I believe that he is, sir, said the other.","ACD"
id5362,"The sails were spread to the wind, and the ship began to move in the water.","WKL"
id1189,"The differences are obvious.","ACD"
id3148,"asked Poirot placidly, from the depths of his comfortable chair.","ACR"
id6281,"When people who live in the country patronize public amusements, public amusements return the compliment by upsetting the family afterward for days together.","WKL"
id5097,"These are my last words in this world--disobey them if you dare!","WKL"
id2062,"I need not say that all the unmarried officers stepped to the front.","ACD"
id4283,"I did not wonder at John objecting to his beard.","ACR"
id6100,"The doctors themselves were divided in opinion.","WKL"
id1904,"If I had to die I was determined that my end should be worthy of my life.","ACD"
id1075,"Between and around these scattered points       extends the desolate, lifeless moor.","ACD"
id3723,"At the _Magnificent_, we were ushered at once into the manager’s office.","ACR"
id1642,"I have never been a man of religion, though I have always had a respect for those who were, but I remember that night that the star shining down the shaft seemed to be an all-seeing eye which was upon me, and I felt as a young and frightened recruit might feel in battle when he saw the calm gaze of his colonel turned upon him.","ACD"
id1491,"Here and there, on the bridges which spanned the canal, there was the dim glimmer of an oil lamp, and sometimes there came a gleam from some niche where a candle burned before the image of a saint.","ACD"
id6252,"A quarter past eight, and nothing happened.","WKL"
id4811,"We watched him, fascinated, though I think we all knew in our hearts that it was too late, and that nothing could be done now.","ACR"
id1195,"So far as I can follow you, then, Mr. Holmes, said Sir Henry       Baskerville, someone cut out this message with a scissors—        Nail-scissors, said Holmes.","ACD"
id3304,"Surely I said suddenly, there are some very famous jewels in the Yardly collection, a large diamond amongst them?","ACR"
id6898,"cried Magdalen, her clear young voice ringing through the conservatory like a bell; her loose sleeves falling back and showing her round white arms to the dimpled elbows, as she clapped her hands ecstatically in the air.","WKL"
id4688,"Do not trouble, Mary, said Inglethorp.","ACR"
id931,"I       could discern no others.","ACD"
id5549,"Friends who will see her swindling scoundrel of a father (when my back is turned) coming drunk to the door to borrow money of her!","WKL"
id4671,"What was Mary Cavendish’s concern in the matter?","ACR"
id6028,"She looked from him to the paper, and dropped, without a cry to warn him, without an effort to save herself, senseless at his feet.","WKL"
id4635,"She went into the boudoir again, and Cynthia stared after her.","ACR"
id4536,"The Rollestons came over with the Conqueror—one of our oldest families.","ACR"
id3903,"In the event of his committing suicide within a year the premiums would be forfeited.","ACR"
id660,"He was clad in a       professional but rather slovenly fashion, for his frock-coat was       dingy and his trousers frayed.","ACD"
id330,"With your permission, I would ask the favor of an interview, as I feel strongly upon the subject, and have certain suggestions which I could only elaborate in a personal conversation.","ACD"
id2211,"Once a man rose from beside one of the fires and stopped me by seizing my sleeve.","ACD"
id4638,"she said to Lawrence.","ACR"
id5618,"Involved in private and personal troubles, you would have hesitated at asking him to help you.","WKL"
id3106,"The man was frightened.","ACR"
id3185,"I know it well.","ACR"
id5904,"He silently took a chair at the other end of the room.","WKL"
id5047,"No!--write 'Accomplice.'","WKL"
id4378,"Cynthia smiled too.","ACR"
id3246,"Why?","ACR"
id3549,"Lady Yardly shook her head regretfully.","ACR"
id227,"What has he done?","ACD"
id3917,"Inquiries at the station yielded the information that Marsdon Manor was about a mile distant.","ACR"
id769,"The moon was shining             bright upon the clearing, and there in the centre lay the             unhappy maid where she had fallen, dead of fear and of             fatigue.","ACD"
id1583,"I shrank back, and in an instant my pursuers were on me.","ACD"
id2931,"Since Mrs. James was positive that there was no one in the house when the lady entered it, and that nobody except the young man in question entered it until the following afternoon, it seemed only logical to conclude that he was the murderer of the unfortunate Mrs. de Castina.","ACR"
id467,"Even at that moment of tension I found time for amazement at the discovery that he was quite a short man, his head not higher than my shoulder--a stunted Hercules whose tremendous vitality had all run to depth, breadth, and brain.","ACD"
id4396,"He looked about forty, very dark with a melancholy clean-shaven face.","ACR"
id6267,"With that expression of opinion, Mr. Vanstone whistled to his vixenish terrier; flourished his stick at the hall door in cheerful defiance of the rain; and set off through wind and weather for his morning walk.","WKL"
id5315,"That engagement forbids      me to destroy this letter, or to take it away with me if I      leave the house.","WKL"
id4970,"There are two doses left.","WKL"
id6212,"His enemies said, derisively, He will be Lord Chancellor in a year or two!","WKL"
id6846,"His gentle, wandering brown eyes would have looked to better advantage in a woman’s face—they wanted spirit and firmness to fit them for the face of a man.","WKL"
id3481,"Let us not confuse the mind.","ACR"
id1885,"It was that sound which nearly led to my destruction.","ACD"
id1511,"Yet I lay quiet, for there is a time to resist and there is a time to save one's strength.","ACD"
id5411,"My daughter is little Anne--as _I_ was.","WKL"
id1123,"Our clients were       punctual to their appointment, for the clock had just struck ten       when Dr. Mortimer was shown up, followed by the young baronet.","ACD"
id4316,"Or Sherlock Holmes?","ACR"
id3451,".","ACR"
id3868,"I suppose it was Rolf who sent her the duplicate letters.","ACR"
id6883,"Mere acquaintances, nothing more.","WKL"
id1257,"That was why I       put them out.","ACD"
id5076,"Will he come back?","WKL"
id4023,"I thank you for all your courtesy, madame.","ACR"
id1372,"You saved my good name, and perhaps       my life.","ACD"
id3090,"A busy medical man very often doesn’t read the papers.","ACR"
id1635,"Through one of these I was thrust and the spring lock closed behind me.","ACD"
id4731,"They have no communication with the right wing, where the Inglethorps’ rooms were situated.","ACR"
id6470,"repeated Magdalen.","WKL"
id6750,"Mr. Clare’s books represented the one important interest of Mr. Clare’s life.","WKL"
id2100,"But already I was myself once more.","ACD"
id1602,"Not a hand was raised to arrest me until I halted in front of a formidable old man, whose long grey beard and masterful manner told me that both by years and by character he was the man in authority.","ACD"
id1762,"I waited until the steps had died away, and then I cautiously drew aside the two boards and peeped through.","ACD"
id5580,"he asked.","WKL"
id3908,"Maltravers had a beautiful young wife, and it is suggested that he got together all the ready money he could for the purpose of paying the premiums on a life insurance for his wife’s benefit, and then committed suicide.","ACR"
id3507,"This affair of Yardly Chase, is it, as you say, all fixed up between you and Mr. Rolf?","ACR"
id1932,"But the next instant he saw the pallor of my face and the blood which was still pouring from my head.","ACD"
id2462,"Well, I did my part—but I also did one thing which the ‘Colonel’ had not foreseen.","ACR"
id1160,"We will       confine ourselves for the present with your permission to this       very interesting document, which must have been put together and       posted yesterday evening.","ACD"
id2754,"I had no doubt that he was saying to himself, What _has_ the child done to herself?","ACR"
id4218,"As we turned in at the lodge gates, John said:  I’m afraid you’ll find it very quiet down here, Hastings.","ACR"
id695,"The man drew out paper and tobacco and twirled the one up in the       other with surprising dexterity.","ACD"
id5430,"Anne rose at once, and the two girls went away together into the garden, hand in hand.","WKL"
id1443,"As a punishment for these murders a great many more of their pictures were sent away, and the soldiers took to breaking the statues and firing their muskets at the stained-glass windows.","ACD"
id6201,"On a certain day in that year two special items of news appeared in the papers--the news of an elevation to the peerage, and the news of a suicide.","WKL"
id9,"How beautiful she was!","ACD"
id1683,"Resistance was useless.","ACD"
id3818,"I asked, puzzled.","ACR"
id6804,"I won’t do the lad’s character the injustice of backing it at even money.","WKL"
id6755,"He called himself a pauper with a pedigree.","WKL"
id3594,"Round the column of her neck was a rivulet of fire.","ACR"
id5099,"The breeze outside, strengthening just then with the slow advance of the morning, parted the window-curtains a little, and wafted a breath of its sweet fragrance joyously into the sick-room.","WKL"
id1752,"Perhaps your spirit may not be so proud by that time.","ACD"
id3184,"All cannot be as Hercule Poirot!","ACR"
id5305,"As she arrived at that conclusion, she looked up.","WKL"
id6549,"Norah, it is needless to say, had long since ceased to be her pupil; and Magdalen had, by this time, completed her education.","WKL"
id6924,"Oh yes!","WKL"
id4857,"Before he had done speaking the door was quietly and quickly opened, and Sarah Leeson confronted him on the threshold, with her candle in her hand.","WKL"
id5366,"Anne’s head fell on the sailor’s shoulder.","WKL"
id6716,"Granting the avowed motive for her journey—did not her manner, on the morning when the letter was opened, and again on the morning of departure, suggest the existence of some other motive which her letter kept concealed?","WKL"
id1889,"The shock has killed her.","ACD"
id1207,"We       may take it, therefore, that the letter was composed by an       educated man who wished to pose as an uneducated one, and his       effort to conceal his own writing suggests that that writing       might be known, or come to be known, by you.","ACD"
id3251,"Gregory says he seemed just scared to death, and in a mortal hurry to get rid of the thing.","ACR"
id5733,"You are a stranger to me from this moment.","WKL"
id1848,"They will murder you, Etienne.","ACD"
id4281,"I looked with some curiosity at Alfred darling.","ACR"
id1474,"To-night for the first time I will tell you.","ACD"
id4045,"You did not?","ACR"
id6334,"Her lips had the true feminine delicacy of form, her cheeks the lovely roundness and smoothness of youth—but the mouth was too large and firm, the chin too square and massive for her sex and age.","WKL"
id2900,"The Mill House, which is the property of Sir Eustace Pedler, M.P., is to be let unfurnished, and an order to view this property was found in the pocket of the man who was at first thought to have committed suicide by throwing himself on the live rail at Hyde Park Corner Tube Station.","ACR"
id4059,"Mrs. Maltravers almost staggered where she stood, and her face blanched noticeably.","ACR"
id5626,"Have you got the written opinions of the two barristers?","WKL"
id3473,"He won’t be pleased.","ACR"
id5168,"When she did look, it was with an effort and a start, with a searching distrust of the empty dimness in the remoter corners of the room.","WKL"
id5986,"She waited--with her back turned on her husband, with her eyes fixed on Lady Jane.","WKL"
id1104,"How can you say that?","ACD"
id5233,"One of these was looped up, and toward the opening thus made Sarah now advanced, after cautiously leaving her candle in the passage outside.","WKL"
id6873,"Norah rose as readily as if the new arrivals had been a relief to her mind.","WKL"
id1002,"And then you will say nothing to him at all until I have made up       my mind about the matter.","ACD"
id3331,"His tone was mocking, but I fancied that an undercurrent of seriousness lay beneath it.","ACR"
id262,"Oh, it was rank nonsense about some queer animals he had discovered.","ACD"
id882,"I don’t suppose I should have done so had I not       known this legend.","ACD"
id4906,"Through the open window, opened to admit the fresh air of the new morning after the sultriness of the August night, there poured monotonously into the room the dull, still, distant roaring of the surf on the sandy coast.","WKL"
id6806,"You ought to be ashamed of yourself for talking of him as you do.","WKL"
id1261,"You see, if I am to be squire down there I must dress the       part, and it may be that I have got a little careless in my ways       out West.","ACD"
id2593,"I feel Cook’s might be sordid, papa.","ACR"
id5852,"Will you give me the refusal of it till to-morrow?","WKL"
id6391,"Don’t you remember the faces she made when she sang?","WKL"
id4339,"It might be a ‘she’, I suggested.","ACR"
id630,"As to the latter part, I have no means of checking you, said I,       but at least it is not difficult to find out a few particulars       about the man’s age and professional career.","ACD"
id5935,"said Mrs. Vanborough, your ladyship’s looks are looks of contempt; your ladyship’s words can bear but one interpretation.","WKL"
id2852,"Yes, it smelt strongly of them.","ACR"
id581,"And then again, there is the ‘friends of the C.C.H.’ I should       guess that to be the Something Hunt, the local hunt to whose       members he has possibly given some surgical assistance, and which       has made him a small presentation in return.","ACD"
id2239,"Oh, mon Dieu!","ACD"
id5543,"By Jupiter!","WKL"
id955,"In a modest way I have       combated evil, but to take on the Father of Evil himself would,       perhaps, be too ambitious a task.","ACD"
id79,"I'll have a try at it, Gladys, if you will only give me an idea what would please you.","ACD"
id3909,"Such a thing is not uncommon.","ACR"
id5277,"She moved away thoughtfully from the garden-seat, crossed the terrace, descended some wooden steps, and followed a shrubbery path which led round by a winding track from the east to the north side of the house.","WKL"
id6856,"Many men would have thought the engineer’s statement rather too carefully worded; and, suspecting him of trying to make the best of a bad case, would have entertained serious doubts on the subject of Frank’s future.","WKL"
id1878,"You're a brave girl, signora, I'll say that for you, and I only wish you'd have better taste than to love a Frenchman.","ACD"
id6132,"Don’t think that!","WKL"
id5481,"Her husband called to her before she could leave the room.","WKL"
id4315,"The real thing—Scotland Yard?","ACR"
id4879,"Was it a serious illness, or a dreadful grief, that had turned her gray in the prime of her womanhood?","WKL"
id3357,"Assuredly not.","ACR"
id1289,"Whichever it is, my answer is fixed.","ACD"
id6665,"The first part of it referred to Captain Wragge, and entered unreservedly into all necessary explanations relating to the man himself and to the motive which had brought him to Combe-Raven.","WKL"
id6536,"There is the state of things in plain words.","WKL"
id667,"Yes, sir.","ACD"
id5617,"You would never have borrowed money of him--but you would have trusted him with untold gold.","WKL"
id162,"He looked alarmed, and his eyes shunned mine.","ACD"
id6096,"They lived with Lady Lundie until the mother was strong enough to carry out the plan of life which she had arranged for the future, and to earn her bread as a teacher of singing.","WKL"
id3102,"I wavered between injured dignity and the overwhelming desire to express my theories.","ACR"
id3841,"At this point I put my finger in the pie.","ACR"
id992,"At least I might go the length of saying that there is some       evidence that this may be so.","ACD"
id4925,"Having put away the plays, Sarah went back to her mistress; and, with more of dread and bewilderment in her face than grief, opened her lips to speak.","WKL"
id2206,"The house appeared to be an empty one, for I passed through the heart of it and out, by an open door, into the street beyond.","ACD"
id457,"But what does that prove?","ACD"
id7,"All that evening I had felt like the soldier who awaits the signal which will send him on a forlorn hope; hope of victory and fear of repulse alternating in his mind.","ACD"
id72,"I've never met the kind of man I mean.","ACD"
id5597,"His wife’s family were friends of mine before he married.","WKL"
id5455,"Mr. Kendrew laughed.","WKL"
id2061,"Of the others, who will volunteer?","ACD"
id1115,"On the contrary, the evidence is that he avoided the       moor.","ACD"
id774,"If I have set it down it is because that which is             clearly known hath less terror than that which is but             hinted at and guessed.","ACD"
id2383,"He bowed over the dancer’s hand with exaggerated courtliness.","ACR"
id5777,"Mr. Delamayn interfered once more, in the interests, this time, of the lady of the house.","WKL"
id1841,"What were they coming for now, since there were no other prisoners to drag to judgment?","ACD"
id5310,"The form of the bed was still marked out by an oblong boundary of weeds and rank grass.","WKL"
id1883,"I thought also how nobly I would seem to have acted if ever the story came to be told, and how proud the regiment of Conflans might well be of their colonel.","ACD"
id2944,"My request took some time to understand, as I had inadvertently selected the department for lost umbrellas, but eventually I was ushered into a small room and presented to Detective Inspector Meadows.","ACR"
id1317,"Our friends are wise, for       it is certainly a very fine morning for a walk.","ACD"
id2014,"asked the major.","ACD"
id349,"When I called on Wednesday there was a letter with the West Kensington postmark upon it, and my name scrawled across the envelope in a handwriting which looked like a barbed-wire railing.","ACD"
id2923,"He looked like a man who’d seen a ghost.","ACR"
id3204,"_Courez!’_ And they arrive!","ACR"
id2297,"In my pocket I held that which would give an instant and a painless death.","ACD"
id6966,"She beckoned again; and again he followed her—up the steps, and over the threshold.","WKL"
id1552,"At first I could see nothing, for I had been so long in darkness and it was but a dim light in which I found myself.","ACD"
id5058,"Get the Bible--the Bible the clergyman used when he was here this morning.","WKL"
id4411,"Off?","ACR"
id6697,"The long interval that had elapsed since the birth of her last child; the serious illness which had afflicted her after the death of that child in infancy; the time of life at which she had now arrived—all inclined her to dismiss the idea as soon as it arose in her mind.","WKL"
id3935,"Was he not?","ACR"
id1909,"It was the rattle of oars and the buzz of many voices.","ACD"
id3280,"As a rule it’s locked up in my jewel-case, and left in the hotel safe deposit.","ACR"
id2929,"However, as the Tube victim was dead at two o’clock, and the woman was alive and well at three o’clock, the only logical conclusion to come to was that the two occurrences had nothing to do with each other, and that the order to view the house at Marlow found in the dead man’s pocket was merely one of those coincidences which so often occur in this life.","ACR"
id6981,"One of her favored swains next secured Captain Absolute, and another laid violent hands on Sir Lucius O’Trigger.","WKL"
id6304,"As they crossed the hall and entered the breakfast-room, Miss Vanstone was full of the all-absorbing subject of the last night’s concert.","WKL"
id3971,"The cause of death was clear, and in my profession we see no need to distress unduly the relatives of a dead patient.","ACR"
id6686,"Although the statement thus presented implied a weakness in Mrs. Vanstone’s character which Miss Garth, after many years of intimate experience, had never detected, she accepted the explanation as a matter of course; receiving it all the more readily inasmuch as it might, without impropriety, be communicated in substance to appease the irritated curiosity of the two young ladies.","WKL"
id2818,"There was a vivid flash from the rails and a crackling sound.","ACR"
id4474,"That’s Dr. Bauerstein, said John shortly.","ACR"
id2114,"We happen to know, however, that the enemy have a considerable store of powder in one of the lower chambers.","ACD"
id5660,"All right!","WKL"
id4705,"What have you been doing, doctor?","ACR"
id2290,"Comrade, I have served France, have I not?","ACD"
id5172,"All her looks, all her actions, betrayed the vain struggle of a weak mind to sustain itself under the weight of a heavy responsibility.","WKL"
id2781,"The Riviera was all right, of course, because one met all one’s friends there.","ACR"
id3801,"Good day, _milord_.","ACR"
id2927,"The police surgeon gave it as his opinion that the woman had been dead about twenty-four hours.","ACR"
id3559,"We’ll send down for them.","ACR"
id345,"I'll have the answer for you here on Wednesday morning--if he ever deigns to answer you.","ACD"
id398,"Don't wait any longer or he may suspect.","ACD"
id4598,"But I had no idea he was a friend of yours.","ACR"
id1277,"And now there’s this affair of the letter to me at the hotel.","ACD"
id1386,"Yes, sir.","ACD"
id3934,"The doctor looked rather surprised.","ACR"
id2248,"Water, water, for Heaven's sake, water!","ACD"
id6817,"Other letters, later in date, described him as a little too ready to despond about himself; as having been sent away, on that account, to some new railway works, to see if change of scene would rouse him; and as having benefited in every respect by the experiment—except perhaps in regard to his professional studies, which still advanced but slowly.","WKL"
id4601,"It is by the charity of that good Mrs. Inglethorp that I am here.","ACR"
id4842,"Observing this, he passed quickly along the passage, and knocked at an old-fashioned oak door at the end of it.","WKL"
id6901,"It all depends on you.","WKL"
id798,"The circumstances connected with the death of Sir Charles             cannot be said to have been entirely cleared up by the             inquest, but at least enough has been done to dispose of             those rumours to which local superstition has given rise.","ACD"
id1794,"The old greybeard?","ACD"
id6240,"It was a wild morning.","WKL"
id3490,"Poirot handed him the copy of _Society Gossip_.","ACR"
id4486,"John’s face hardened.","ACR"
id982,"Why should he not go to the home of his fathers?","ACD"
id562,"It was just       such a stick as the old-fashioned family practitioner used to       carry—dignified, solid, and reassuring.","ACD"
id4485,"That’s a pretty girl, I remarked appreciatively.","ACR"
id2542,"That seems to show that whereas our ancestors were more Simian than we are, the chimpanzee’s were of a higher type than the present species—in other words, the chimpanzee is a degenerate.","ACR"
id5895,"In speechless amazement Mrs. Vanborough’s eyes followed the direction of Lady Jane’s eyes--and rested on the lawyer, personally a total stranger to her.","WKL"
id4746,"The whole household was aroused by now.","ACR"
id1024,"Then I should be very glad to compare impressions as to       this most interesting problem which has been submitted to us this       morning.","ACD"
id6321,"The hall-clock struck the adjourned breakfast-hour.","WKL"
id487,"But there is a limit.","ACD"
id5739,"Scoundrel as he was--in intention, if not yet in act--the loss of the oldest friend he had in the world staggered him for the moment.","WKL"
id2685,"Your father, as you know, was a very great man.","ACR"
id1263,"It seems a singularly useless thing to steal, said Sherlock       Holmes.","ACD"
id1481,"He was not tall, but he was one of the broadest men that I have ever seen in my life.","ACD"
id3720,"He did so hate failure of any kind.","ACR"
id6843,"His slim figure had now acquired strength and grace, and had increased in stature to the medium height.","WKL"
id6995,"In eight days more the night of performance would arrive; a phalanx of social martyrs two hundred strong had been convened to witness it; three full rehearsals were absolutely necessary; and two characters in the play were not filled yet.","WKL"
id2301,"In an instant I put out my light and slipped behind the window-curtains.","ACD"
id3531,"You return to Yardly Chase at once?","ACR"
id4512,"THE 16TH AND 17TH OF JULY   I had arrived at Styles on the 5th of July.","ACR"
id4905,"Other objects were all merged together in the general obscurity.","WKL"
id5146,"I will wait here until you come back.","WKL"
id5827,"I hope I have not driven her away.","WKL"
id205,"I really know nothing about him, said I.  I only remember his name in connection with the police-court proceedings, for striking Blundell.","ACD"
id2317,"I rushed into the street as the Spaniard had done, eager only to leave that house of gloom behind me, and I had run as far as the cathedral before my wits came back to me.","ACD"
id5193,"she said, her eyes riveted on the curtain while her hand groped over the lock for the key.","WKL"
id3343,"I’ve already said so to Mary.","ACR"
id2996,"What?","ACR"
id3940,"Indeed.","ACR"
id6996,"With this lamentable story, and with the humblest apologies for presuming on a slight acquaintance, the Marrables appeared at Combe-Raven, to appeal to the young ladies for a Lucy, and to the universe for a Falkland, with the mendicant pertinacity of a family in despair.","WKL"
id6186,"They sat on the same bench, and sided with the same party.","WKL"
id1352,"No.","ACD"
id2947,"Good morning, I said nervously.","ACR"
id2236,"It was a voice, a whispering voice, in my very ear.","ACD"
id2272,"Yes.","ACD"
id6249,"Further inquiries, on the part of all the female servants in succession, elicited no additional information of any sort.","WKL"
id709,"I think, Dr. Mortimer, you would       do wisely if without more ado you would kindly tell me plainly       what the exact nature of the problem is in which you demand my       assistance.","ACD"
id6992,"Thanks to these vigorous measures, the play was at last supplied with representatives—always excepting the two unmanageable characters of Lucy the waiting-maid, and Falkland, Julia’s jealous lover.","WKL"
id752,"And while the revellers stood aghast at the fury of             the man, one more wicked or, it may be, more drunken than             the rest, cried out that they should put the hounds upon             her.","ACD"
id6917,"Miss Marrable and I have a turn for business, and we settled it all in five minutes.","WKL"
id6021,"she cried, shrinking from the ghastly face that confronted her with the fixed stare of agony in the great, glittering eyes.","WKL"
id3043,"He looked like a man who’d seen a ghost.","ACR"
id1216,"It is the scientific use of the       imagination, but we have always some material basis on which to       start our speculation.","ACD"
id5970,"I have made a very painful discovery, she said, gravely, to Mr. Vanborough.","WKL"
id1181,"Well, now—so it is!","ACD"
id1627,"Remove him until we have dealt with the others.","ACD"
id4244,"Shall press you in.","ACR"
id3660,"Why?","ACR"
id2322,"I had still two hours in which to act.","ACD"
id4439,"But not now?","ACR"
id1186,"Most certainly.","ACD"
id2854,"I walked home slowly and did a good deal of thinking.","ACR"
id4111,"Then he took from his pocket his big turnip-faced watch and laid it on the table beside him.","ACR"
id6102,"It was a mere figure of speech--in no degree satisfactory to any reasonable mind--to say, as Lady Lundie said, that she had got her death-blow on the day when her husband deserted her.","WKL"
id5586,"You have the right of an old friend.","WKL"
id3628,"But it’s always locked.","ACR"
id4636,"Goodness gracious!","ACR"
id2488,"Killed in the war.","ACR"
id1969,"It was a long journey from Berlin to the Pyrenees.","ACD"
id3201,"You must go to the little Belgian.","ACR"
id1778,"for some minutes, for one does not make speeches at moments like that.","ACD"
id1337,"How else could it be known so quickly that it was the       Northumberland Hotel which he had chosen?","ACD"
id5119,"Sarah put her ear close to them.","WKL"
id2914,"It was situated at some distance from the lodge, and she was not in the habit of accompanying prospective tenants.","ACR"
id3612,"The Chinaman—the side door.","ACR"
id1138,"asked       Holmes, glancing keenly across at our visitor.","ACD"
id6126,"Yes.","WKL"
id5953,"he hesitates!","WKL"
id5376,"Her husband, some years younger than herself, faced her at the table, sitting silent and constrained, and never, even by accident, looking at his wife.","WKL"
id226,"I am not very clear yet why I am to interview this gentleman.","ACD"
id3438,".","ACR"
id6598,"Once more Miss Garth attempted to stem the man’s flow of words.","WKL"
id1251,"Well, mislaid it, anyhow.","ACD"
id2237,"Mon Dieu!","ACD"
id4062,"I got some news from my lawyers that detained me, explained the young man.","ACR"
id4118,"Bernard.","ACR"
id4606,"His head was exactly the shape of an egg, and he always perched it a little on one side.","ACR"
id4475,"And who is Dr. Bauerstein?","ACR"
id2714,"Yes, yes, my dear child.","ACR"
id4416,"She looked excited and determined, and slightly on the defensive.","ACR"
id1975,"Yet we had a powerful artillery, and our engineers were of the best.","ACD"
id6224,"Mr. Delamayn consulted his wife, and took it with a peerage.","WKL"
id2843,"By the time the second lift reached the street level, there was no sign of my quarry.","ACR"
id3733,"He duly signed the receipt, remarking carelessly as he did so: Looks a bit different from my ordinary one, but I hurt my hand getting out of the taxi.","ACR"
id4650,"Mary Cavendish was saying in the voice of a woman desperately controlling herself:  Then you won’t show it to me?","ACR"
id4589,"_Mon ami_ Hastings!","ACR"
id748,"Now, the poor lass upstairs was like to have her             wits turned at the singing and shouting and terrible oaths             which came up to her from below, for they say that the             words used by Hugo Baskerville, when he was in wine, were             such as might blast the man who said them.","ACD"
id5298,"What had she actually bound herself to do?","WKL"
id4487,"That is Mrs. Raikes.","ACR"
id2267,"He was dying as much from thirst as from his wounds, and these inhuman wretches had placed a beaker of wine upon the table in front of him to add a fresh pang to his tortures.","ACD"
id4395,"At the same moment, a man stepped out from the shadow of a tree and walked slowly in the same direction.","ACR"
id5694,"The rising solicitor lifted his eyebrows in polite surprise.","WKL"
id3056,"On an average about five hundred people wrote daily to announce their success in the quest, and tall young men with well-tanned faces cursed the day when their tailors had persuaded them to a brown suit.","ACR"
id2963,"Done it myself.","ACR"
id5825,"What pretty grounds!","WKL"
id1717,"Where are the horses of St. Mark?","ACD"
id402,"There was a tap at a door, a bull's bellow from within, and I was face to face with the Professor.","ACD"
id4652,"Then show it to me.","ACR"
id3399,"Were yours, too, left by hand—by a Chinaman?","ACR"
id5106,"Even while she pronounced these solemn words, even at that last struggle for life and strength, the ineradicable theatrical instinct showed, with a fearful inappropriateness, how firmly it kept its place in her mind.","WKL"
id6984,"All the friends of the family suddenly became unreliable people, for the first time in their lives.","WKL"
id4540,"We were detained under suspicion by the hospital porter, until Cynthia appeared to vouch for us, looking very cool and sweet in her long white overall.","ACR"
id3554,"said Lord Yardly.","ACR"
id5063,"Yes, yes--the Bible the clergyman used, continued Mrs. Treverton, vacantly, after the book had been produced.","WKL"
id1746,"But now the old president glared at me again like a tiger who comes back to his victim.","ACD"
id4649,"As I ran out to the tennis court a few moments later, I had to pass the open boudoir window, and was unable to help overhearing the following scrap of dialogue.","ACR"
id3701,"The diamond of Miss Marvell, it has been stolen.","ACR"
id3305,"That’s so, said Miss Marvell briefly.","ACR"
id3337,"Well, what does Monsieur Poirot say to our little problem?","ACR"
id3484,"Thus we have order, _method_, which, as I have often told you, Hastings——  Exactly, I said hastily, and put the offending volume in its proper place.","ACR"
id5650,"They won’t take long.","WKL"
id3298,"I guess it’s the real old feudal stuff all right.","ACR"
id5861,"She smiled satirically, and summoned her friend to her aid.","WKL"
id1440,"They were too coarse-limbed for light cavalry charges and they had not the weight for the gun-teams.","ACD"
id2090,"Captain Gerard has volunteered to go, said the colonel.","ACD"
id4686,"Will you take Mrs. Inglethorp her coffee, Cynthia?","ACR"
id6087,"At the end of the first year Death took her--and the spot was rubbed out.","WKL"
id2330,"I passed unquestioned down the broad boulevard, which I have already described, until I came to the great stone convent which formed the outwork of the defence.","ACD"
id2168,"After that it is your guardian angel who must be your guide, for I can help you no more.","ACD"
id2862,"There was a brief notice in the evening papers that a man had been killed in the Tube, and a doubt was expressed whether it was suicide or accident.","ACR"
id5545,"And, what’s more, if you want the truth, it’s because I _can’t_ bury her here that I’m going to leave this house.","WKL"
id3667,"And the dinner, the without doubt excellent dinner, that the _chef_ of Lord Yardly has prepared?","ACR"
id598,"When I said that you stimulated me I meant, to be       frank, that in noting your fallacies I was occasionally guided       towards the truth.","ACD"
id6048,"The cool evening air came in through the open window and lifted the light ribbons in her lace cap, lifted the little lock of hair that had broken loose and drooped over her neck.","WKL"
id1448,"For this reason I always look round for some lady who will be kind enough to teach it to me, and then we practise it together.","ACD"
id1270,"Sir Henry Baskerville listened with the deepest       attention and with an occasional exclamation of surprise.","ACD"
id959,"But       now, Dr. Mortimer, tell me this.","ACD"
id2148,"I enveloped myself in the Franciscan gown.","ACD"
id5655,"Yes.","WKL"
id4476,"He’s staying in the village doing a rest cure, after a bad nervous breakdown.","ACR"
id957,"The original hound was material enough to tug a man’s throat       out, and yet he was diabolical as well.","ACD"
id2484,"I only meant that a resurrection would be awkward for you, he explained.","ACR"
id1284,"But the practical       point which we now have to decide, Sir Henry, is whether it is or       is not advisable for you to go to Baskerville Hall.","ACD"
id2396,"I am continually watched and spied upon.","ACR"
id486,"Look here, sir, said I, backing to the door and opening it; you can be as abusive as you like.","ACD"
id2932,"She had been strangled with a piece of stout black cord, and had evidently been caught unawares with no time to cry out.","ACR"
id917,"And what marks did you see by the wicket-gate?","ACD"
id5469,"I am sorry to hear you are worried.","WKL"
id5696,"Do you wish me to go into the law of the case?","WKL"
id413,"A huge spread of shoulders and a chest like a barrel were the other parts of him which appeared above the table, save for two enormous hands covered with long black hair.","ACD"
id3137,"Nothing more you can tell us about him?","ACR"
id2146,"It was true, and I had been long enough in Spain to know that that fate was likely to be something more serious than mere death.","ACD"
id204,"There's something in your line there, I am sure, and the Gazette should work it.","ACD"
id6440,"His face changed color the instant he read the first lines; his cheeks fading to a dull, yellow-brown hue, which would have been ashy paleness in a less florid man; and his expression becoming saddened and overclouded in a moment.","WKL"
id1806,"All my adventures were insignificant compared to this terrible shadow which was creeping over my soul.","ACD"
